Section_Number,Prof_ID,Student_ID,Course_Grade,Numeric_Grade
14223,7,101,I,N/A
14223,7,102,B,3.0
14223,7,103,C,2.0
14223,7,104,A,4.0
14223,7,105,B,3.0
14223,7,106,C,2.0
14223,7,107,W,N/A
14223,7,108,B,3.0
14224,5,109,B,3.0
14224,5,110,B,3.0
14224,5,111,A,4.0
14224,5,112,B,3.0
14224,5,113,C,2.0
14224,5,114,A,4.0
14224,5,115,B,3.0
14224,5,116,C,2.0
14224,5,117,W,N/A
14227,8,101,B,3.0
14227,8,102,B,3.0
14227,8,103,B,3.0
14227,8,104,A,4.0
14227,8,105,B,3.0
14227,8,106,C,2.0
14227,8,107,A,4.0
14228,6,108,B,3.0
14228,6,109,C,2.0
14228,6,110,W,N/A
14228,6,111,B,3.0
14228,6,112,B,3.0
14228,6,113,B,3.0
14228,6,114,A,4.0
14228,6,115,B,3.0
14228,6,116,C,2.0
14228,6,117,A,4.0
15889,3,101,B,3.0
15889,3,102,C,2.0
15889,3,103,W,N/A
15889,3,104,B,3.0
15889,3,105,B,3.0
15890,3,106,B,3.0
15890,3,107,B,3.0
15890,3,108,A,4.0
15890,3,109,B,3.0
13125,10,101,C,2.0
13125,10,102,A,4.0
13125,10,103,B,3.0
13125,10,104,C,2.0
13125,10,105,W,N/A
15891,1,101,B,3.0
15891,1,102,B,3.0
15891,1,103,B,3.0
15891,1,104,B,3.0
15891,1,105,B,3.0
15891,1,106,A,4.0
15891,1,107,B,3.0
15891,1,108,C,2.0
15892,1,109,A,4.0
15892,1,110,B,3.0
15892,1,111,C,2.0
15892,1,112,W,N/A
15892,1,113,B,3.0
15892,1,114,B,3.0
10210,11,108,B,3.0
10210,11,109,B,3.0
10210,11,110,B,3.0
10210,11,111,A,4.0
10210,11,112,B,3.0
10211,11,113,C,2.0
10211,11,114,A,4.0
10211,11,115,B,3.0
10211,11,116,B,3.0
10212,11,117,B,3.0
12226,19,108,C,2.0
12226,19,109,A,4.0
12226,19,110,B,3.0
12227,12,111,C,2.0
12227,12,112,W,N/A
12227,12,113,B,3.0
12228,12,114,B,3.0
12228,12,115,B,3.0
12228,12,116,B,3.0
12228,12,117,B,3.0
15862,17,108,A,4.0
15862,17,109,B,3.0
15862,17,110,C,2.0
15862,17,111,A,4.0
15862,17,112,B,3.0
15863,17,113,C,2.0
15863,17,114,B,3.0
15863,17,115,B,3.0
15863,17,116,B,3.0
18287,1,101,A,4.0
18287,1,102,A,4.0
18287,1,103,A,4.0
18287,1,104,A,4.0
18287,1,105,A,4.0
18287,1,106,A,4.0
18287,1,107,A,4.0
